label,run_id,seed,final_cost,cnot_count,circuit_depth,runtime_s,expanded_nodes,max_depth,success
Random Mean,0,1000,13.0,10,13,0.049479799999971874,501,6,True
Random Mean,1,1001,12.0,9,12,0.050375099999655504,501,7,True
Random Mean,2,1002,11.0,8,11,0.04854489999706857,501,6,True
Random Mean,3,1003,11.0,8,11,0.045825900000636466,501,6,True
Random Mean,4,1004,12.0,9,12,0.04812569999921834,501,6,True
Random Minimum,0,1000,12.0,9,12,0.04154650000418769,501,5,True
Random Minimum,1,1001,12.0,9,12,0.04079440000350587,501,6,True
Random Minimum,2,1002,13.0,10,13,0.04272529999434482,501,5,True
Random Minimum,3,1003,13.0,10,13,0.1129919000013615,501,6,True
Random Minimum,4,1004,11.0,8,11,0.041140099994663615,501,5,True
Random Top-3 Mean,0,1000,13.0,10,13,0.040448299994750414,501,5,True
Random Top-3 Mean,1,1001,13.0,10,13,0.039438799998606555,501,5,True
Random Top-3 Mean,2,1002,11.0,8,11,0.04528820000268752,501,6,True
Random Top-3 Mean,3,1003,15.0,12,15,0.03996819999883883,501,5,True
Random Top-3 Mean,4,1004,11.0,8,11,0.041734799997357186,501,5,True
Random Top-5 Mean,0,1000,12.0,9,12,0.042053900004248135,501,5,True
Random Top-5 Mean,1,1001,14.0,11,14,0.04209139999875333,501,6,True
Random Top-5 Mean,2,1002,13.0,10,13,0.042395799995574635,501,5,True
Random Top-5 Mean,3,1003,12.0,9,12,0.041207399997801986,501,5,True
Random Top-5 Mean,4,1004,12.0,9,12,0.04162709999945946,501,5,True
Best-Trajectory Teacher,0,1000,12.0,9,12,0.04273609999654582,501,5,True
Best-Trajectory Teacher,1,1001,12.0,9,12,0.03938400000333786,501,6,True
Best-Trajectory Teacher,2,1002,13.0,10,13,0.04180540000379551,501,5,True
Best-Trajectory Teacher,3,1003,13.0,10,13,0.042218200003844686,501,6,True
Best-Trajectory Teacher,4,1004,11.0,8,11,0.04132009999739239,501,5,True
