exp,part,param,dim,features,cnot_mean,cnot_std,depth_mean,depth_std,time_mean,R2,MAE,RMSE,r,rank_rho,ok_rate
A_drop_active_qubits,A,active_qubits,340,"['flatten', 'col_deg', 'row_wt', 'rank', 'pivot_candidates', 'active_rows']",44.2,3.3466401061363023,56.2,3.3466401061363023,0.35197182000119936,0.990412732944057,0.6993482894897461,1.0221446450455465,0.9951968931143389,0.9891003581172446,1.0
A_drop_active_rows,A,active_rows,340,"['flatten', 'col_deg', 'row_wt', 'rank', 'pivot_candidates', 'active_qubits']",43.2,5.6302753041037,55.2,5.6302753041037,0.34750665999890773,0.9898812074298059,0.7456978607177734,1.0500966956162092,0.9950442943911593,0.9895632225274714,1.0
A_drop_col_deg,A,col_deg,316,"['flatten', 'row_wt', 'rank', 'pivot_candidates', 'active_qubits', 'active_rows']",41.0,2.7386127875258306,53.0,2.7386127875258306,0.45708589999921967,0.99064244405151,0.6690768280029297,1.009825100598611,0.9953262719415427,0.9898187916949169,1.0
A_drop_pivot_candidates,A,pivot_candidates,340,"['flatten', 'col_deg', 'row_wt', 'rank', 'active_qubits', 'active_rows']",40.4,5.941380311005179,52.4,5.941380311005179,0.4760857999994187,0.9896153836583353,0.7599332885742187,1.0638004590160948,0.9947953808880079,0.988994144291526,1.0
A_drop_rank,A,rank,340,"['flatten', 'col_deg', 'row_wt', 'pivot_candidates', 'active_qubits', 'active_rows']",43.4,6.58027355054484,55.4,6.58027355054484,0.3482112799996685,0.9885605914095924,0.8347260131835937,1.116520577209645,0.9942981889254007,0.9902958867094485,1.0
A_drop_row_wt,A,row_wt,329,"['flatten', 'col_deg', 'rank', 'pivot_candidates', 'active_qubits', 'active_rows']",44.0,3.7416573867739413,56.0,3.7416573867739413,0.47594253999996,0.9876721559856317,0.8620514984130859,1.1590669183942122,0.9938280367560421,0.9922332242614758,1.0
B_add_active_qubits,B,active_qubits,301,"['flatten', 'active_qubits']",41.8,4.324349662087931,53.8,4.324349662087931,0.3564698000001954,0.9817136972099398,1.1002218627929687,1.4116528153167525,0.9908499710551353,0.9821445833481356,1.0
B_add_active_rows,B,active_rows,301,"['flatten', 'active_rows']",41.2,2.949576240750525,53.2,2.949576240750525,0.3430008799994539,0.9902174631332864,0.6639366264343262,1.0325015015233563,0.9951100206884845,0.9881202243094536,1.0
B_add_col_deg,B,col_deg,325,"['flatten', 'col_deg']",68.2,4.494441010848846,80.2,4.494441010848846,0.5083418399997754,0.970493032274427,1.3859931983947753,1.7931938308955682,0.9854096328940194,0.9759516728522194,1.0
B_add_pivot_candidates,B,pivot_candidates,301,"['flatten', 'pivot_candidates']",42.0,1.8708286933869707,54.0,1.8708286933869707,0.3842262200007099,0.9796695750320751,1.145232021331787,1.4884634462024562,0.9898939731946118,0.9846845156523771,1.0
B_add_rank,B,rank,301,"['flatten', 'rank']",41.2,2.949576240750525,53.2,2.949576240750525,0.4472181400007685,0.9902174631332864,0.6639366264343262,1.0325015015233563,0.9951100206884845,0.9881202243094536,1.0
B_add_row_wt,B,row_wt,312,"['flatten', 'row_wt']",45.8,8.105553651663778,57.8,8.105553651663778,0.30368817999988096,0.9750300543222644,1.2555259704589843,1.64958137341271,0.9880060340772323,0.9780922226081733,1.0
C_cd_pv,C,,326,"['flatten', 'col_deg', 'pivot_candidates']",45.2,5.974947698515862,57.2,5.974947698515862,0.38794985999993514,0.9766881914500728,1.2077825813293457,1.5938701203220973,0.9885137909180454,0.9843252287521264,1.0
