state_idx,n_actions,top1_flat_vs_true,top1_row_vs_true,top3_flat_vs_true,top3_row_vs_true,top1_agree_models,top3_agree_models,spearman_models,kendall_models,pairwise_agree_models
0,10,0,0,1,0,0,0,0.6770,0.4762,0.7381
1,10,1,1,1,1,1,0,0.4303,0.2889,0.6444
2,10,1,0,1,1,0,1,0.7818,0.6000,0.8000
3,10,1,0,1,1,0,0,0.2727,0.2889,0.6444
4,10,1,0,1,0,0,0,0.7939,0.6000,0.8000
5,10,0,0,1,1,0,1,0.8537,0.6818,0.8409
6,10,1,1,1,1,1,0,0.4909,0.4222,0.7111
7,10,1,1,1,1,1,1,0.7677,0.6410,0.8205
8,10,1,1,1,1,1,0,0.7576,0.6000,0.8000
9,10,0,0,0,0,0,0,-0.3659,-0.3182,0.3409
10,10,0,0,0,0,0,0,-0.3576,-0.2000,0.4000
11,10,0,0,1,0,0,0,-0.4182,-0.2000,0.4000
12,10,0,0,1,0,0,0,-0.2242,-0.1111,0.4444
13,10,1,0,1,1,0,1,0.6727,0.5111,0.7556
14,10,1,0,1,0,0,0,0.1056,0.0476,0.5238
15,10,1,1,1,1,1,0,0.2242,0.1556,0.5778
16,10,0,1,1,1,0,0,0.1394,0.0667,0.5333
17,10,0,0,1,1,1,0,0.4788,0.3333,0.6667
18,10,0,1,0,1,0,0,0.0788,0.0667,0.5333
19,10,1,0,1,0,0,0,0.2174,0.1905,0.5952
20,10,1,1,1,1,1,0,0.3212,0.2889,0.6444
21,10,0,0,1,0,0,0,-0.3333,-0.2000,0.4000
22,10,0,0,1,0,0,0,0.0424,0.0222,0.5111
23,10,1,0,1,0,0,0,0.7939,0.6444,0.8222
24,10,1,0,1,0,0,0,-0.1758,-0.1556,0.4222
25,10,1,0,1,0,0,0,-0.2242,-0.1111,0.4444
26,10,0,0,1,1,1,1,0.7333,0.6000,0.8000
27,10,1,0,1,0,0,0,0.6463,0.5000,0.7500
28,10,1,1,1,1,1,0,0.5610,0.4091,0.7045
29,10,0,0,1,1,1,0,0.5515,0.3778,0.6889
30,10,1,0,1,0,0,0,0.0122,0.0455,0.5227
31,10,1,1,1,1,1,0,0.1636,0.1111,0.5556
32,10,1,0,1,0,0,0,0.4061,0.3778,0.6889
33,10,1,1,1,1,1,0,0.0909,0.0667,0.5333
34,10,0,0,1,0,0,0,-0.1273,-0.1111,0.4444
35,10,0,1,0,1,0,0,0.7927,0.5455,0.7727
36,10,1,1,1,1,1,1,0.6707,0.5455,0.7727
37,10,0,0,1,0,0,0,-0.5030,-0.3778,0.3111
38,10,1,1,1,1,1,0,0.3091,0.2444,0.6222
39,10,1,0,1,1,0,0,0.9273,0.7778,0.8889
40,10,0,0,1,0,0,0,-0.5030,-0.3778,0.3111
41,10,0,0,0,1,0,0,0.7178,0.5349,0.7674
42,10,0,0,0,0,0,0,-0.2000,-0.1111,0.4444
43,10,0,1,1,1,0,0,0.1515,0.0667,0.5333
44,10,1,0,1,0,0,0,0.1394,0.1556,0.5778
45,10,0,0,0,0,0,0,0.3939,0.3333,0.6667
46,10,1,0,1,0,0,0,0.2805,0.1818,0.5909
47,10,0,1,0,1,0,0,0.4621,0.4286,0.7143
48,10,0,0,1,1,1,0,0.4424,0.3333,0.6667
49,10,1,1,1,1,1,0,0.8902,0.7727,0.8864
