state_id,n_actions,flatten_dynamic_range,rowcol_dynamic_range,flatten_std,rowcol_std,flatten_variance,rowcol_variance,dr_ratio_row_vs_flat
0,10,2.826543,4.098021,0.830848,1.201023,0.690308,1.442456,1.449835
1,10,2.975193,3.316079,0.918387,0.756438,0.843434,0.572198,1.114576
2,10,2.972602,0.335681,0.799222,0.107200,0.638756,0.011492,0.112925
3,10,2.979544,0.441361,0.832015,0.151310,0.692248,0.022895,0.148130
4,10,3.536009,4.937891,1.057739,1.476718,1.118811,2.180696,1.396459
5,10,1.267437,1.561774,0.456730,0.517822,0.208603,0.268140,1.232231
6,10,3.623703,2.079577,1.004157,0.547995,1.008331,0.300299,0.573882
7,10,1.728128,1.908341,0.563065,0.562110,0.317043,0.315967,1.104282
8,10,2.673529,0.517179,0.922868,0.141209,0.851685,0.019940,0.193444
9,10,2.574339,1.252864,0.762931,0.360855,0.582064,0.130216,0.486674
10,10,1.308512,0.387861,0.376730,0.104039,0.141925,0.010824,0.296414
11,10,2.259556,0.313556,0.831709,0.114831,0.691741,0.013186,0.138769
12,10,2.284826,2.706576,0.809687,0.729959,0.655592,0.532840,1.184588
13,10,2.517882,2.361479,0.700264,0.686980,0.490370,0.471942,0.937883
14,10,1.185050,0.322321,0.489671,0.126001,0.239778,0.015876,0.271989
15,10,2.012924,0.574625,0.586265,0.142646,0.343706,0.020348,0.285468
16,10,3.004605,1.488397,0.858893,0.393702,0.737697,0.155001,0.495372
17,10,3.105575,0.447950,0.871906,0.149775,0.760220,0.022433,0.144240
18,10,1.783308,1.639854,0.584796,0.427982,0.341986,0.183169,0.919557
19,10,1.412896,0.918983,0.472671,0.347742,0.223418,0.120925,0.650425
20,10,3.186397,3.669249,1.025324,1.017138,1.051289,1.034569,1.151536
21,10,3.726937,2.956905,1.066360,0.807507,1.137123,0.652068,0.793388
22,10,3.442717,0.957424,1.143606,0.277993,1.307835,0.077280,0.278101
23,10,2.204122,1.885469,0.717963,0.495592,0.515470,0.245611,0.855428
24,10,3.503681,0.634555,1.008346,0.190445,1.016762,0.036269,0.181111
25,10,4.268029,3.249057,1.220638,0.958364,1.489957,0.918462,0.761255
26,10,2.647970,2.145679,0.999318,0.601963,0.998636,0.362359,0.810311
27,10,2.924799,4.051609,0.893530,1.146589,0.798397,1.314666,1.385261
28,10,2.169767,2.160191,0.616450,0.534111,0.380011,0.285274,0.995587
29,10,2.940835,5.607196,0.857594,1.298599,0.735468,1.686358,1.906668
30,10,1.099323,0.799267,0.384882,0.279563,0.148134,0.078156,0.727053
31,10,3.848164,0.376854,1.169774,0.108085,1.368372,0.011682,0.097931
32,10,2.173930,0.245715,0.758116,0.066181,0.574740,0.004380,0.113028
33,10,1.304247,1.390908,0.470117,0.408173,0.221010,0.166605,1.066445
34,10,3.747410,0.196815,0.984912,0.071609,0.970051,0.005128,0.052520
35,10,2.119825,2.539743,0.515738,0.727831,0.265986,0.529737,1.198091
36,10,2.068458,2.953653,0.792219,0.733070,0.627611,0.537392,1.427949
37,10,3.749626,0.270899,0.978236,0.076682,0.956946,0.005880,0.072247
38,10,2.138949,3.190763,0.692603,0.837871,0.479700,0.702027,1.491743
39,10,2.381083,0.639037,0.736277,0.189524,0.542104,0.035919,0.268381
40,10,2.937444,0.214999,0.931735,0.063721,0.868131,0.004060,0.073192
41,10,2.898085,3.275931,0.813530,1.241352,0.661831,1.540954,1.130378
42,10,3.114239,5.411003,0.898363,1.218992,0.807057,1.485941,1.737504
43,10,2.104758,1.825411,0.592220,0.446347,0.350725,0.199226,0.867279
44,10,3.199734,2.866950,0.809655,0.701383,0.655541,0.491938,0.895996
45,10,3.601906,0.373395,0.980928,0.103541,0.962221,0.010721,0.103666
46,10,1.112320,0.784291,0.290072,0.338142,0.084142,0.114340,0.705095
47,10,1.449669,0.815173,0.503230,0.374671,0.253241,0.140378,0.562317
48,10,1.933541,2.216739,0.657078,0.619372,0.431751,0.383621,1.146466
49,10,3.372843,2.531084,0.868320,0.588737,0.753980,0.346611,0.750430
50,10,3.050595,2.979721,1.086239,0.995394,1.179914,0.990808,0.976767
51,10,2.438651,0.497053,0.657835,0.157405,0.432747,0.024776,0.203823
52,10,2.903422,0.475324,0.776219,0.129487,0.602516,0.016767,0.163712
53,10,2.234073,1.424900,0.668632,0.386376,0.447069,0.149286,0.637804
54,10,2.735458,2.383653,0.853070,0.822198,0.727729,0.676009,0.871391
55,10,2.399519,3.133174,0.804480,0.947295,0.647188,0.897369,1.305751
56,10,2.108799,0.149933,0.574835,0.041263,0.330435,0.001703,0.071099
57,10,1.898292,4.290500,0.560107,1.319238,0.313720,1.740389,2.260190
58,10,2.280480,0.213769,0.584099,0.054755,0.341171,0.002998,0.093739
59,10,1.207253,1.570683,0.317785,0.583168,0.100987,0.340085,1.301038
60,10,3.516334,0.621845,0.921071,0.178355,0.848373,0.031811,0.176845
61,10,2.917338,0.533842,0.885526,0.143681,0.784157,0.020644,0.182989
62,10,1.952944,2.536584,0.690246,0.749639,0.476439,0.561958,1.298852
63,10,3.272074,0.620987,1.143330,0.207859,1.307204,0.043205,0.189784
64,10,1.666809,0.433067,0.412181,0.140220,0.169893,0.019662,0.259818
65,10,3.582930,2.969632,1.276721,0.949022,1.630018,0.900643,0.828828
66,10,1.142735,0.789171,0.493621,0.286811,0.243662,0.082261,0.690598
67,10,1.295674,1.705863,0.454562,0.725000,0.206627,0.525625,1.316583
68,10,2.175728,3.008871,0.630155,0.901166,0.397096,0.812101,1.382926
69,10,2.574835,0.480592,0.724217,0.137710,0.524490,0.018964,0.186650
70,10,2.516341,0.416792,0.657111,0.131643,0.431795,0.017330,0.165634
71,10,1.938633,3.354430,0.574868,0.849539,0.330473,0.721717,1.730307
72,10,2.015616,2.373985,0.653585,0.769591,0.427173,0.592271,1.177796
73,10,2.993040,2.869717,0.793273,0.823775,0.629283,0.678605,0.958797
74,10,1.323196,1.734934,0.442627,0.481463,0.195919,0.231807,1.311169
75,10,4.026428,0.433712,1.096201,0.133797,1.201656,0.017902,0.107716
76,10,2.085440,0.523451,0.649952,0.145871,0.422438,0.021278,0.251003
77,10,2.032637,0.309367,0.673630,0.096358,0.453777,0.009285,0.152200
78,10,2.781939,3.177079,0.800372,1.115084,0.640595,1.243412,1.142037
79,10,2.504936,0.358192,0.688862,0.119666,0.474531,0.014320,0.142994
80,10,1.814820,0.401204,0.474783,0.111305,0.225419,0.012389,0.221071
81,10,4.325191,2.557912,1.196711,0.961775,1.432116,0.925010,0.591399
82,10,4.560820,1.960134,1.150139,0.544276,1.322820,0.296236,0.429777
83,10,2.852060,2.543511,0.918668,0.689216,0.843952,0.475019,0.891815
84,10,2.091705,0.186524,0.628743,0.055052,0.395318,0.003031,0.089173
85,10,3.280467,0.876042,0.971806,0.241312,0.944408,0.058231,0.267048
86,10,3.125386,0.626896,0.865335,0.163310,0.748804,0.026670,0.200582
87,10,2.599759,0.333674,0.729309,0.107026,0.531891,0.011455,0.128348
88,10,3.324867,3.301732,1.250682,1.196117,1.564205,1.430696,0.993042
89,10,2.218186,3.453997,0.768637,1.158828,0.590803,1.342883,1.557127
90,10,3.556833,0.775344,1.140693,0.221914,1.301180,0.049246,0.217987
91,10,1.214962,0.765202,0.408700,0.260184,0.167035,0.067696,0.629816
92,10,2.916494,2.840960,0.754777,0.642150,0.569688,0.412357,0.974101
93,10,3.101434,0.765217,0.928153,0.211888,0.861469,0.044896,0.246730
94,10,2.341078,2.318080,0.746799,0.835350,0.557709,0.697809,0.990176
95,10,3.905956,0.563712,1.080435,0.142725,1.167340,0.020371,0.144321
96,10,3.685763,2.731315,1.280615,0.922464,1.639976,0.850939,0.741045
97,10,1.200223,1.328692,0.417375,0.476109,0.174202,0.226680,1.107038
98,10,2.613236,0.854462,0.939224,0.230122,0.882141,0.052956,0.326975
99,10,0.213544,1.334218,0.058666,0.488719,0.003442,0.238846,6.247988
100,10,3.182260,0.450324,1.077769,0.125986,1.161587,0.015872,0.141511
101,10,1.115648,0.750770,0.484509,0.289029,0.234749,0.083538,0.672945
102,10,1.131530,1.403275,0.455230,0.617968,0.207234,0.381885,1.240157
103,10,3.272418,1.740954,1.113904,0.674849,1.240783,0.455421,0.532008
104,10,3.270072,1.322978,0.953480,0.362366,0.909125,0.131309,0.404571
105,10,1.798905,0.511337,0.485894,0.165477,0.236093,0.027383,0.284249
106,10,1.297347,0.409357,0.330270,0.137517,0.109078,0.018911,0.315534
107,10,3.021878,1.137796,0.894250,0.278193,0.799683,0.077391,0.376520
108,10,2.562045,2.604373,0.952717,0.726178,0.907670,0.527335,1.016521
109,10,3.679096,0.424191,0.967406,0.122267,0.935873,0.014949,0.115298
110,10,2.480810,2.915839,0.868744,0.920662,0.754716,0.847619,1.175358
111,10,2.799444,3.043017,0.995157,1.036332,0.990338,1.073984,1.087008
112,10,1.500291,1.366534,0.556134,0.410928,0.309285,0.168862,0.910846
113,10,0.917848,0.747910,0.328989,0.286924,0.108234,0.082325,0.814851
114,10,1.971675,0.337659,0.696016,0.084461,0.484439,0.007134,0.171255
115,10,2.615772,1.492043,0.642878,0.526241,0.413292,0.276930,0.570403
116,10,2.396285,2.125123,0.874207,0.773158,0.764238,0.597773,0.886840
117,10,3.799342,2.589645,0.974263,0.703483,0.949188,0.494889,0.681603
118,10,3.188117,3.744049,1.087709,1.106596,1.183111,1.224555,1.174376
119,10,3.209309,0.551256,0.966155,0.167320,0.933456,0.027996,0.171768
120,10,2.758137,5.711974,0.961177,1.453561,0.923861,2.112839,2.070953
121,10,2.051588,3.100855,0.623113,1.276831,0.388270,1.630298,1.511441
122,10,2.068882,2.551943,0.765688,0.873685,0.586278,0.763326,1.233489
123,10,3.429948,2.473445,1.052059,0.626479,1.106829,0.392476,0.721132
124,10,3.046529,0.818486,0.922947,0.224807,0.851832,0.050538,0.268662
125,10,0.954040,0.830577,0.250653,0.294232,0.062827,0.086572,0.870589
126,10,2.237180,0.286690,0.787706,0.088605,0.620480,0.007851,0.128148
127,10,3.133358,2.010084,0.834692,0.691419,0.696710,0.478061,0.641511
128,10,1.944172,0.282733,0.608453,0.105762,0.370215,0.011186,0.145426
129,10,1.476352,0.975387,0.494004,0.306415,0.244040,0.093890,0.660674
130,10,2.112484,3.054921,0.517288,0.954726,0.267587,0.911502,1.446128
131,10,2.664658,0.235928,0.719173,0.082794,0.517209,0.006855,0.088540
132,10,2.260585,2.848038,0.658971,0.792014,0.434243,0.627286,1.259867
133,10,1.150486,1.028344,0.404788,0.377201,0.163854,0.142281,0.893834
134,10,3.136494,0.386844,0.840143,0.115212,0.705840,0.013274,0.123336
135,10,2.971762,2.097611,0.751984,0.636256,0.565481,0.404822,0.705848
136,10,3.309463,2.837857,0.905555,0.835302,0.820031,0.697729,0.857498
137,10,1.746917,0.718644,0.591526,0.196738,0.349903,0.038706,0.411378
138,10,2.100354,0.198762,0.640131,0.052546,0.409768,0.002761,0.094633
139,10,2.919338,2.687476,0.862291,1.150044,0.743545,1.322602,0.920577
140,10,2.228709,2.181321,0.705372,0.612404,0.497550,0.375038,0.978738
141,10,3.492150,0.764331,0.969345,0.230948,0.939629,0.053337,0.218871
142,10,1.322775,1.217342,0.330669,0.313787,0.109342,0.098462,0.920294
143,10,2.264730,1.208629,0.658882,0.350308,0.434126,0.122716,0.533674
144,10,3.070202,2.654680,0.864528,0.754518,0.747409,0.569297,0.864660
145,10,3.114696,0.581490,0.919785,0.187157,0.846005,0.035028,0.186692
146,10,1.168359,1.263627,0.482856,0.538118,0.233150,0.289571,1.081539
147,10,2.276802,2.622461,0.688418,0.696399,0.473920,0.484972,1.151818
148,10,2.987010,0.419402,0.976487,0.139880,0.953528,0.019567,0.140409
149,10,2.452859,2.988206,0.823851,0.754943,0.678731,0.569939,1.218254
