run_id,seed,cnot,depth,is_valid,syndrome_error,x_syndrome_error,z_syndrome_error,is_logical_zero
0,1000,45,57,True,0.0,0.0,0.0,True
1,1001,39,51,True,0.0,0.0,0.0,True
2,1002,39,51,True,0.0,0.0,0.0,True
3,1003,37,49,True,0.0,0.0,0.0,True
4,1004,37,49,True,0.0,0.0,0.0,True
5,1005,46,58,True,0.0,0.0,0.0,True
6,1006,43,55,True,0.0,0.0,0.0,True
7,1007,40,52,True,0.0,0.0,0.0,True
8,1008,37,49,True,0.0,0.0,0.0,True
9,1009,47,59,True,0.0,0.0,0.0,True
10,1010,45,57,True,0.0,0.0,0.0,True
11,1011,40,52,True,0.0,0.0,0.0,True
12,1012,44,56,True,0.0,0.0,0.0,True
13,1013,39,51,True,0.0,0.0,0.0,True
14,1014,44,56,True,0.0,0.0,0.0,True
15,1015,43,55,True,0.0,0.0,0.0,True
16,1016,41,53,True,0.0,0.0,0.0,True
17,1017,42,54,True,0.0,0.0,0.0,True
18,1018,41,53,True,0.0,0.0,0.0,True
19,1019,44,56,True,0.0,0.0,0.0,True
