run_id,seed,cnot,depth,is_valid,syndrome_error,x_syndrome_error,z_syndrome_error,is_logical_zero,first_valid_iteration,first_best_iteration,search_time,value_inference_time,simulation_time,node_count
0,1000,51,63,True,0.0,0.0,0.0,True,,,,,,
1,1001,43,55,True,0.0,0.0,0.0,True,,,,,,
2,1002,46,58,True,0.0,0.0,0.0,True,,,,,,
3,1003,42,54,True,0.0,0.0,0.0,True,,,,,,
4,1004,41,53,True,0.0,0.0,0.0,True,,,,,,
5,1005,49,61,True,0.0,0.0,0.0,True,,,,,,
6,1006,41,53,True,0.0,0.0,0.0,True,,,,,,
7,1007,44,56,True,0.0,0.0,0.0,True,,,,,,
8,1008,40,52,True,0.0,0.0,0.0,True,,,,,,
9,1009,40,52,True,0.0,0.0,0.0,True,,,,,,
10,1010,46,58,True,0.0,0.0,0.0,True,,,,,,
11,1011,48,60,True,0.0,0.0,0.0,True,,,,,,
12,1012,39,51,True,0.0,0.0,0.0,True,,,,,,
13,1013,40,52,True,0.0,0.0,0.0,True,,,,,,
14,1014,43,55,True,0.0,0.0,0.0,True,,,,,,
15,1015,40,52,True,0.0,0.0,0.0,True,,,,,,
16,1016,45,57,True,0.0,0.0,0.0,True,,,,,,
17,1017,41,53,True,0.0,0.0,0.0,True,,,,,,
18,1018,52,64,True,0.0,0.0,0.0,True,,,,,,
19,1019,41,53,True,0.0,0.0,0.0,True,,,,,,
