run_id,seed,cnot,depth,is_valid,syndrome_error,x_syndrome_error,z_syndrome_error,is_logical_zero,first_valid_iteration,first_best_iteration,search_time,value_inference_time,simulation_time,node_count
0,1000,41,53,True,0.0,0.0,0.0,True,,,,,,
1,1001,54,66,True,0.0,0.0,0.0,True,,,,,,
2,1002,38,50,True,0.0,0.0,0.0,True,,,,,,
3,1003,36,48,True,0.0,0.0,0.0,True,,,,,,
4,1004,36,48,True,0.0,0.0,0.0,True,,,,,,
5,1005,42,54,True,0.0,0.0,0.0,True,,,,,,
6,1006,45,57,True,0.0,0.0,0.0,True,,,,,,
7,1007,41,53,True,0.0,0.0,0.0,True,,,,,,
8,1008,47,59,True,0.0,0.0,0.0,True,,,,,,
9,1009,42,54,True,0.0,0.0,0.0,True,,,,,,
10,1010,44,56,True,0.0,0.0,0.0,True,,,,,,
11,1011,48,60,True,0.0,0.0,0.0,True,,,,,,
12,1012,47,59,True,0.0,0.0,0.0,True,,,,,,
13,1013,42,54,True,0.0,0.0,0.0,True,,,,,,
14,1014,45,57,True,0.0,0.0,0.0,True,,,,,,
15,1015,43,55,True,0.0,0.0,0.0,True,,,,,,
16,1016,42,54,True,0.0,0.0,0.0,True,,,,,,
17,1017,50,62,True,0.0,0.0,0.0,True,,,,,,
18,1018,44,56,True,0.0,0.0,0.0,True,,,,,,
19,1019,41,53,True,0.0,0.0,0.0,True,,,,,,
