seed,arm,iteration,best_cnot,best_depth,is_valid,logical_ok,x_syndrome,z_syndrome,runtime_s,first_valid_iteration,first_best_iteration
1000,Baseline,100,205,245,True,True,0.0,0.0,9.915621199994348,100,100
1000,Baseline,200,193,233,True,True,0.0,0.0,19.686807999998564,100,200
1000,Baseline,300,193,233,True,True,0.0,0.0,29.93547359999502,100,200
1000,Baseline,400,193,233,True,True,0.0,0.0,42.43248190000304,100,200
1000,Baseline,500,193,233,True,True,0.0,0.0,55.582113399985246,100,200
1000,Baseline,600,184,224,True,True,0.0,0.0,69.10471819998929,100,600
1000,Baseline,700,180,220,True,True,0.0,0.0,82.69720179997967,100,700
1000,Baseline,800,180,220,True,True,0.0,0.0,96.0794928999967,100,700
1000,Baseline,900,180,220,True,True,0.0,0.0,109.68101899998146,100,700
1000,Baseline,1000,172,212,True,True,0.0,0.0,120.6012783999904,100,1000
1001,Baseline,100,189,229,True,True,0.0,0.0,9.805066899978556,100,100
1001,Baseline,200,181,221,True,True,0.0,0.0,19.96725129999686,100,200
1001,Baseline,300,181,221,True,True,0.0,0.0,30.123945899977116,100,200
1001,Baseline,400,179,219,True,True,0.0,0.0,40.278211299999384,100,400
1001,Baseline,500,179,219,True,True,0.0,0.0,50.48416229998111,100,400
1001,Baseline,600,179,219,True,True,0.0,0.0,60.43998699999065,100,400
1001,Baseline,700,179,219,True,True,0.0,0.0,70.41947999998229,100,400
1001,Baseline,800,179,219,True,True,0.0,0.0,80.39453439999488,100,400
1001,Baseline,900,179,219,True,True,0.0,0.0,90.45441119998577,100,400
1001,Baseline,1000,179,219,True,True,0.0,0.0,100.40605939997477,100,400
1002,Baseline,100,210,250,True,True,0.0,0.0,9.801184200012358,100,100
1002,Baseline,200,200,240,True,True,0.0,0.0,19.604054900002666,100,200
1002,Baseline,300,192,232,True,True,0.0,0.0,29.34754640000756,100,300
1002,Baseline,400,192,232,True,True,0.0,0.0,38.58766039999318,100,300
1002,Baseline,500,192,232,True,True,0.0,0.0,47.80414330001804,100,300
1002,Baseline,600,192,232,True,True,0.0,0.0,57.297119299997576,100,300
1002,Baseline,700,186,226,True,True,0.0,0.0,67.15610920000472,100,700
1002,Baseline,800,178,218,True,True,0.0,0.0,76.6124272000161,100,800
1002,Baseline,900,178,218,True,True,0.0,0.0,85.78831410000566,100,800
1002,Baseline,1000,178,218,True,True,0.0,0.0,95.12166520001483,100,800
1003,Baseline,100,195,235,True,True,0.0,0.0,9.669694899988826,100,100
1003,Baseline,200,185,225,True,True,0.0,0.0,19.41798120000749,100,200
1003,Baseline,300,185,225,True,True,0.0,0.0,29.18737339999643,100,200
1003,Baseline,400,185,225,True,True,0.0,0.0,39.103360899986,100,200
1003,Baseline,500,185,225,True,True,0.0,0.0,48.872993199998746,100,200
1003,Baseline,600,185,225,True,True,0.0,0.0,58.56007750000572,100,200
1003,Baseline,700,185,225,True,True,0.0,0.0,68.31452769998577,100,200
1003,Baseline,800,185,225,True,True,0.0,0.0,78.03062490001321,100,200
1003,Baseline,900,185,225,True,True,0.0,0.0,87.60241349998978,100,200
1003,Baseline,1000,185,225,True,True,0.0,0.0,97.6782300999912,100,200
1004,Baseline,100,195,235,True,True,0.0,0.0,12.087006299989298,100,100
1004,Baseline,200,183,223,True,True,0.0,0.0,25.17751499998849,100,200
1004,Baseline,300,179,219,True,True,0.0,0.0,38.15918270000839,100,300
1004,Baseline,400,178,218,True,True,0.0,0.0,49.072884199995315,100,400
1004,Baseline,500,178,218,True,True,0.0,0.0,61.65150760000688,100,400
1004,Baseline,600,178,218,True,True,0.0,0.0,74.2635494999995,100,400
1004,Baseline,700,168,208,True,True,0.0,0.0,87.09583269999712,100,700
1004,Baseline,800,168,208,True,True,0.0,0.0,99.7647699000081,100,700
1004,Baseline,900,168,208,True,True,0.0,0.0,112.15501349998522,100,700
1004,Baseline,1000,168,208,True,True,0.0,0.0,123.74158939998597,100,700
1000,ValueNet,100,186,226,True,True,0.0,0.0,10.473705599986715,100,100
1000,ValueNet,200,186,226,True,True,0.0,0.0,20.560722199996235,100,100
1000,ValueNet,300,186,226,True,True,0.0,0.0,30.700209499977063,100,100
1000,ValueNet,400,163,203,True,True,0.0,0.0,40.794033599988325,100,400
1000,ValueNet,500,163,203,True,True,0.0,0.0,50.93162489999668,100,400
1000,ValueNet,600,163,203,True,True,0.0,0.0,61.14980529999593,100,400
1000,ValueNet,700,163,203,True,True,0.0,0.0,71.43007219998981,100,400
1000,ValueNet,800,163,203,True,True,0.0,0.0,82.01037969999015,100,400
1000,ValueNet,900,163,203,True,True,0.0,0.0,92.42084159998922,100,400
1000,ValueNet,1000,163,203,True,True,0.0,0.0,102.89892909998889,100,400
